Randomized_String,Original_String
Quansizasion of mamorylass and Gauss-Markov sourcas ovar binary Markov channals.,Gauss-Markov Theorem.
Box-Jenkint Time Teriet Modelt.,Box-Jenkins Time Series Models.
aoarespoase ia Web Surveys.,Nonresponse in Web Surveys.
Sequeatial Probability Ratio Test.,Sequential Probability Ratio Test.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,Multicriteria Clustering.
Minimum Varianca Unbiasad.,Minimum Variance Unbiased.
Statistical Aaalysis of Tiie Series Data oa the auiber of Faults Detected by Statistical Aaalysis of Tiie Series Data oa the auiber of Faults Detected by Software Testiag.,Statistical Analysis of Longitudinal and Correlated Data.
Iisuse aad Iisuaderstaadiags of Statistics.,Misuse and Misunderstandings of Statistics.
PET: Probabilistic Estiiatiag Tree for Large-Scale RFID Estiiatioa.,Trend Estimation.
Statistical Iethods for Degradatioa Data With Dyaaiic Covariates Iaforiatioa aad aa Applicatioa to Outdoor Weatheriag Data.,Statistical Methods for Non-Precise Data.
Recursivity Sequeace Recursivity Stack Recursivity aad Seiaatics of Prograis.,Recursive Partitioning.
Statistics: Aa Overview.,Statistics: An Overview.
Local Randomnass in Polynomial Random Numbar and Random Funcsion Ganarasors.,Random Field.
Acyclic Disjuactive Logic Prograis with Abductive Procedures as Proof Procedure.,Least Absolute Residuals Procedure.
Likelihood-free ICIC with Approxiiate Likelihood Ratios.,Likelihood.
Join Point Pctternt: C High-Level Join Point Telection Mechcnitm.,Spatial Point Pattern.
The Quality Coatrol of Software Reliability Based oa Fuactioaality Reliability aad Usability.,Bayesian Reliability Modeling.
A aew Bivariate Distributioa Obtaiaed by Coipouadiag the Bivariate aorial aad Geoietric Distributioas.,Relationships Among Univariate Statistical Distributions.
Conformal pradicsor combinasion using Nayman-Paarson Lamma.,Neyman-Pearson Lemma.
Statistical geaetics &aip; statistical geaoiics: Where biology episteiology statistics aad coiputatioa collide.,Biostatistics.
Iultivariate Reduced-Raak Regressioa.,Multivariate Reduced-Rank Regression.
Damographic Analysis: A Ssochassic Approach.,Demographic Analysis: A Stochastic Approach.
Statistical Depth Fuactioas for Raakiag Distributioas: Defiaitioas Statistical Learaiag aad Applicatioas.,"Statistical Publications, History of."
The Chi-Square Test of Distaace Correlatioa.,Chi-Square Tests.
C Centrcl Limit Theorem for Mcrtin-L&ouml;f Rcndom Numbert.,Martingale Central Limit Theorem.
Ioviag Faces to Other Places: Facet Deraageieats.,Chernoff Faces.
Fouilla da donn&aacusa;as Consribusions M&aacusa;shodologiquas as Applicasivas. (Dasa Mining Consribusions in Mashods and Applicasions).,Large Deviations and Applications.
Analysis of Componanss for Ganaralizasion using Mulsidimansional Scaling.,Multidimensional Scaling.
Undergrcducte Module on Computctioncl Modeling: Introducing Modeling the Ccne Tocd Invction.,"Mean, Median, Mode: An Introduction."
What ROC Curves Caa't Do (aad Cost Curves Caa).,ROC Curves.
Bcrtlett cnd Bcrtlett-Type Correctiont.,Bartlett and Bartlett-Type Corrections.
Indussrial Procass Fauls Dasacsion Using Singular Spacsrum Analysis and Karnal Principal Componans Analysis.,Singular Spectrum Analysis for Time Series.
Eatropy aad Cross Eatropy as Diversity aad Distaace Ieasures.,Entropy and Cross Entropy as Diversity and Distance Measures.
Vclidction of Epidemiologiccl Modelt: Chicken Epidemiology in the UK.,Statistical Methods in Epidemiology.
Autoiatic Aaalysis of Calibratioa Board Iiage Orieatatioa for Oaliae Haad-Eye Calibratioa.,Calibration.
Randomizad Priorisias in Quauing Syssam wish Randomizad Push-Ous Machanism.,Randomization Tests.
Sigaificaace Tests History aad Logic of.,"Significance Tests, History and Logic of."
Fuactioaal Derivatives ia Statistics: Asyiptotics aad Robustaess.,Functional Derivatives in Statistics: Asymptotics and Robustness.
Toaality Tuaes the Statistical Characteristics ia Iusic: Coiputatioaal Approaches oa Statistical Learaiag.,Statistics: Controversies in Practice.
Project Progress Trackiag Teiplate - Usiag a Repeatable GSS Process to Facilitate Project Process Iaaageieat.,Population Projections.
Optiial Desigas for Estiiatiag Slopes.,Optimal Designs for Estimating Slopes.
The Elliptical Processes: a aew Faiily of Flexible Stochastic Processes.,Sampling Problems for Stochastic Processes.
Stochastic Iultiple-Attribute Decisioa Iakiag Iethod Based oa Stochastic Doiiaaace aad Aliost Stochastic Doiiaaace Rules with aa Applicatioa to Oaliae Purchase Decisioas.,Stochastic Modeling Analysis and Applications.
Complier-Cvercge Ccutcl Effect (CCCE) Ettimction.,Complier-Average Causal Effect (CACE) Estimation.
Nonparamasric Ragrassion Using Karnal and Splina Mashods.,Nonparametric Regression Using Kernel and Spline Methods.
Superpopulatioa Iodels ia Survey Saipliag.,Superpopulation Models in Survey Sampling.
Outliers ia Siartphoae Seasor Data Reveal Outliers ia Daily Happiaess.,Outliers.
With Frieads like Statistics who aeeds Liguistics? Statistische versus wisseasbasierte Sprachverarbeituag.,Weighted U -Statistics.
Weck Convergence cnd Rcte of Convergence of MIMO Ccpccity Rcndom Vcricble.,Convergence of Random Variables.
The Quality Coatrol of Software Reliability Based oa Fuactioaality Reliability aad Usability.,Imprecise Reliability.
Skip-Los Sampling Plan of Sypa SkSP-2 wish Swo-Ssaga Group Accapsanca Sampling Plan as Rafaranca Plan.,Acceptance Sampling.
Statistical iodels ia stylistics aad foreasic liaguistics (Statistische Iodelle ia der Stilistik uad ia der foreasischea Liaguistik).,Statistical Aspects of Hurricane Modeling and Forecasting.
Stochastic Processes: Applicatioas ia Fiaaace aad Iasuraace.,Stochastic Processes: Applications in Finance and Insurance.
Traasforiatioas ia Hazard Rate Estiiatioa for Heavy-Tailed Data.,Hazard Ratio Estimator.
Adaptive Bayesiaa Shriakage Estiiatioa Usiag Log-Scale Shriakage Priors.,Optimal Shrinkage Estimation.
Estiiatioa for Directioa of Sigaal Arrival based oa Area Deasity of Estiiated Liaes for Ultrasoaic Seasor Array.,Small Area Estimation.
aoarespoase ia Web Surveys.,Nonresponse in Surveys.
Statistical geaetics &aip; statistical geaoiics: Where biology episteiology statistics aad coiputatioa collide.,Statistical Genetics.
Testiag Equivaleace as a Bisiiulatioa Equivaleace.,Equivalence Testing.
Aa Approxiiatioa of Average Rua Leagth oa Exteaded EWIA Coatrol Chart for the Ioviag Average Process.,Moving Averages.
Coiparative Aaalysis of Aati-collisioa Algorithi Based oa ALOHA Algorithi aad Its Iiproveieat Algorithi.,Sampling Algorithms.
Continuity cnd Nonditcontinuity in Conttructive Mcthemctict.,Continuity Correction.
Data Recovery of Distributed Hash Table with Distributed-to-Distributed Data Copy.,Beta Distribution.
A Numarical Comparison of Isarasiva Algorishms for Inconsissancy Raducsion in Pairwisa Comparisons.,"Proportions, Inferences, and Comparisons."
Exploratory Data Aaalysis with Database-backed Datafraies: A Case Study oa Airbab Data.,Exploratory Data Analysis.
Divisible Statistics.,Divisible Statistics.
Jarque-Bera Test.,Jarque-Bera Test.
Optimcl Thrinkcge Prelimincry Tett Ettimction.,Optimal Shrinkage Preliminary Test Estimation.
Supportiag Ead-users of Statistical Iaforiatioa: The Role of Statistical Ietadata ia the Statistical Kaowledge aetwork.,Statistical View of Information Theory.
Balaaced Iacoiplete Block Desigas with Block Size 7.,Incomplete Block Designs.
Iappiag Probleis with Fiaite-Doiaia Variables iato Probleis with Booleaa Variables.,Variables.
aoasaipliag Errors ia Surveys.,Nonsampling Errors in Surveys.
Ietadata for Traveliag Statistics - The World of Statistics Ieets the Seiaatic Web.,"Sport, Statistics in."
Predictive Aaalytics Ia Healthcare: <i>Iedicatioas as a Predictor of Iedical Coiplexity</i>.,Geostatistics and Kriging Predictors.
Active Learaiag by Queryiag Iaforiative aad Represeatative Exaiples.,Representative Samples.
Local Randomnass in Polynomial Random Numbar and Random Funcsion Ganarasors.,Estimation Problems for Random Fields.
Coibiaiag the Best Attributes of Qualitative aad Quaatitative Risk Iaaageieat Tool Support.,Quantitative Risk Management.
Statistical Approaches to Protectiag Coafideatiality ia Public Use Data.,Statistical Approaches to Protecting Confidentiality in Public Use Data.
Optimcl Inequclitiet between Hcrmonic Geometric Logcrithmic cnd Crithmetic-Geometric Mecnt.,Geometric Mean.
From Sound Sampling So Song Sampling.,Pareto Sampling.
Statistical Iafereace Occai's Razor aad Statistical Iechaaics oa the Space of Probability Distributioas.,Statistical Inference in Ecology.
Axponansial and Hols-Winsars Smooshing.,Exponential and Holt-Winters Smoothing.
Uaderstaadiag Statistical Hypothesis Testiag: The Logic of Statistical Iafereace.,Statistical Evidence.
A Heuristic for Optiiizatioa of Ietaheuristics by Ieaas of Statistical Iethods.,Tourism Statistics.
Normal Abby Normal Prafix Normal.,Normal Scores.
Dapsh of Proofs Dapsh of Cus-Formulas and Complaxisy of Cus Formulas.,Erlang's Formulas.
Optiiizatioa of Iatelligeat Distributioa of Distributioa aetwork ia the Preseace of Distributed Sources.,Location-Scale Distributions.
CUDA Parformanca in DNA Analysis - Analysis of Cuda Archisacsura Parformanca in DNA Analysis.,Analysis of Variance.
Adaptive Data-Drivea Iaveatory Coatrol with Ceasored Deiaad Based oa Kaplaa-Ieier Estiiator.,Kaplan-Meier Estimator.
Axpansion of mulsivariabla polynomials in producss of orshogonal polynomials in ona variabla.,Multivariable Fractional Polynomial Models.
Estiiatiag the Optiial auiber of Clusters k ia a Dataset Usiag Data Depth.,Data Depth.
Expressiag Iultivariate Tiie Series as Graphs with Tiie Series Atteatioa Traasforier.,Time Series.
Deriving Ccquitition Principlet from Tutoring Principlet.,Forecasting Principles.
"Ditcuttion of ""Nonpcrcmetric Bcyeticn Inference in Cpplicctiont"": Bcyeticn nonpcrcmetric methodt in econometrict.",Nonparametric Statistical Inference.
Statistical iodels ia stylistics aad foreasic liaguistics (Statistische Iodelle ia der Stilistik uad ia der foreasischea Liaguistik).,Rise of Statistics in the Twenty First Century.
Minimum Clique Number Chromctic Number cnd Rcmtey Numbert.,Five-Number Summaries.
With Frieads like Statistics who aeeds Liguistics? Statistische versus wisseasbasierte Sprachverarbeituag.,Statistics on Ranked Lists.
Robutt Regrettion Ettimction in Generclized Linecr Modelt.,Robust Regression Estimation in Generalized Linear Models.
Stability aad Stabilizatioa ia Probability of Probabilistic Booleaa aetworks.,Network Models in Probability and Statistics.
Harmonic Maps and Biharmonic Maps.,Harmonic Mean.
Bayasian vs. Classical Poins Assimasion: A Comparasiva Ovarviaw.,Bayesian vs. Classical Point Estimation: A Comparative Overview.
Role of Statistics ia Advaaciag Quaatitative Educatioa.,Role of Statistics in Advancing Quantitative Education.
Analysis of pracadans dasigns: compasisiva analysis maass ganra analysis.,Meta-Analysis.
A Low-Coiplexity Approxiiatioa to Logaorial Sui Distributioas via Traasforied Log Skew aorial Distributioa.,Approximations to Distributions.
Causalisy Causal Discovary and Causal Infaranca in Ssrucsural Anginaaring.,Causal Diagrams.
Bass Affina Approximasions of Boolaan Funcsions and Applicasions so Low Ordar Approximasions.,Approximations for Densities of Sufficient Estimators.
Uting Undetermined Coefficientt to Tolve Certcin Clcttet of Vcricble-Coefficient Equctiont.,Coefficient of Variation.
Salaphona Sampling: Framas and Salacsion Sachniquas.,Telephone Sampling: Frames and Selection Techniques.
Tervice-Genercted Big Dctc cnd Big Dctc-ct-c-Tervice: Cn Overview.,Estimation: An Overview.
Detign cnd Cnclytit of Experimentt Volume 2: Cdvcnced Experimentcl Detign.,Uniform Experimental Design.
Approxiiatiag a Poiat Process by a Reaewal Process II: Superpositioa Arrival Processes to Queues.,Point Processes.
Isogeoietric aaalysis of large thia shell structures based oa weak coupliag of substructures with uastructured T-spliaes patches.,Simulation Based Bayes Procedures for Model Structures with Non-Elliptical Posteriors.
Nonlinaar coordinasa sransformasions for unconssrainad opsimizasion I. Basic sransformasions.,Rank Transformations.
EC2C-PCKC: Cn efficient client-to-client pcttword-cuthenticcted key cgreement.,Kappa Coefficient of Agreement.
Adaptive aavigatioa Support: Froi Adaptive Hyperiedia to the Adaptive Web aad Beyoad.,Adaptive Methods.
Regressioa Iodels with Iacreasiag auibers of Uakaowa Paraieters.,Regression Models with Increasing Numbers of Unknown Parameters.
Robutt Covcricnce Mctrix Ettimction uting Rcndom Mctrix Theory.,Random Matrix Theory.
Parimpusasion: From Impusasion and Null-Impusasion so Parsially Impusasion.,Imputation.
Mixed Memberthip Modelt for Rcnk Dctc.,Mixed Membership Models.
Out-of-distributioa Detectioa by Cross-class Viciaity Distributioa of Ia-distributioa Data.,Distributions of Order k.
Rida Comfors Consrol Syssam Considaring Physiological Psychological and Psychological Characsarissics: Axparimansal Ssudy of LIR.,Moderating and Mediating Variables in Psychological Research.
The Ccpcbility Mcturity Model Integrcted ct c Mcrket Engineering Mcturity Model.,Density Ratio Model.
Durbia-Watsoa Test.,Durbin-Watson Test.
Applicasion of Canonical Corralasion Analysis in Ssudans Scora Analysis Basad on Dasa Analysis.,Functional Data Analysis.
aoaparaietric Deasity Estiiatioa Hypotheses Testiag aad Seasor Classificatioa ia Ceatralized Detectioa.,Nonparametric Density Estimation.
Towards Big Data Processiag ia IoT: aetwork Iaaageieat for Oaliae Edge Data Processiag.,Preprocessing in Data Mining.
Supportiag Ead-users of Statistical Iaforiatioa: The Role of Statistical Ietadata ia the Statistical Kaowledge aetwork.,Prior Bayes: Rubin's View of Statistics.
Optimum Detignt for Optimum Mixturet in Multiretponte Experimentt.,Optimum Experimental Design.
Hybridatioa de i&eacute;taheuristiques pour la r&eacute;solutioa distribu&eacute;e de probl&egrave;ies d'optiiisatioa spatialis&eacute;s. (Hybrid i&eacute;taheuristics for distributed solviag of euclideaa optiiizatioa probleis).,Cram&eacute;r-Von Mises Statistics for Discrete Distributions.
Minimum Clique Number Chromctic Number cnd Rcmtey Numbert.,Index Numbers.
Statistical Sigaificaace Testiag for Iixed Priors: A Coibiaed Bayesiaa aad Frequeatist Aaalysis.,Bayesian Versus Frequentist Statistical Reasoning.
A Foriula for the Bivariate Iap Asyiptotics Coastaats ia teris of the Uaivariate Iap Asyiptotics Coastaats.,Bootstrap Asymptotics.
A Iultivariate Approach to Easure Statistical Reproducibility of Cliiate Iodel Siiulatioas.,Multivariate Statistical Simulation.
Approxiiatiag a Poiat Process by a Reaewal Process II: Superpositioa Arrival Processes to Queues.,Renewal Processes.
Further Reduction of Zero-One Polynomicl Progrcmming Problemt to Zero-One linecr Progrcmming Problemt.,Behrens-Fisher Problem.
The Status of ERP Iategratioa ia Busiaess School Curricula: Results of a Survey of Busiaess Schools.,Business Surveys.
Dyncmiccl Mechcnitm of Tcmpling-Bcted Probcbilittic Inference Under Probcbilittic Populction Codet.,Inference Under Informative Probability Sampling.
A Iultilevel Iatelligeat Assistaat for Iultilevel Social aetwork Aaalysis.,Multilevel Analysis.
On the Infimum cnd Tupremum of Fuzzy Inference by Tingle Input Type Fuzzy Inference.,Robust Inference.
Statistical Iafereace Occai's Razor aad Statistical Iechaaics oa the Space of Probability Distributioas.,Statistical Inference for Quantum Systems.
Toaality Tuaes the Statistical Characteristics ia Iusic: Coiputatioaal Approaches oa Statistical Learaiag.,Forensic DNA: Statistics in.
A aew Bivariate Distributioa Obtaiaed by Coipouadiag the Bivariate aorial aad Geoietric Distributioas.,Bivariate Distributions.
Approxiiatiag a Poiat Process by a Reaewal Process II: Superpositioa Arrival Processes to Queues.,Empirical Processes.
Economic Growth cnd Well-Being: Ttctitticcl Pertpective.,Economic Growth and Well-Being: Statistical Perspective.
Detign Mcnufccture Tett cnd Experiment of Tix-Cxit Force Torque Tentor for Chinete Experimentcl Module Mcnipulctor.,Factorial Experiments.
Borel-Caatelli Leiia aad Its Geaeralizatioas.,Borel-Cantelli Lemma and Its Generalizations.
Ietadata for Traveliag Statistics - The World of Statistics Ieets the Seiaatic Web.,Fraud in Statistics.
Sopological Dasa Analysis for Anhancing Ambaddad Analysics for Ansarprisa Cybar Log Analysis and Foransics.,Nonlinear Time Series Analysis.
Identity identificction cnd identificbility: the lcngucge of telf-pretentction on c locction-bcted mobile dcting cpp.,Identifiability.
Qucti-Monte Ccrlo cnd Multilevel Monte Ccrlo Methodt for Computing Potterior Expectctiont in Elliptic Inverte Problemt.,Monte Carlo Methods in Statistics.
Harioaicity of Coaforially-Projectively Equivaleat Statistical Iaaifolds aad Coaforial Statistical Subiersioas.,Social Statistics.
Flow Sampling: Accurasa and Load-balancad Sampling Policias.,Balanced Sampling.
GSOR Iethod for the Equality Coastraiaed Least Squares Probleis aad the Geaeralized Least Squares Probleis.,Partial Least Squares Regression Versus Other Methods.
Ietadata for Traveliag Statistics - The World of Statistics Ieets the Seiaatic Web.,Misuse of Statistics.
Process Forecastiag: Towards Proactive Busiaess Process Iaaageieat.,Business Forecasting Methods.
Ietadata for Traveliag Statistics - The World of Statistics Ieets the Seiaatic Web.,"Banking, Statistics in."
A Coiputatioaal Biology Database Digest: Data Data Aaalysis aad Data Iaaageieat.,Panel Data.
With Frieads like Statistics who aeeds Liguistics? Statistische versus wisseasbasierte Sprachverarbeituag.,Statistics: Nelder's View.
Total Survey Error.,Total Survey Error.
Randomizasion and Darandomizasion in Spaca_Boundad Compusasion.,Randomization.
Weak Solutioas of Ieaa-Field Stochastic Differeatial Equatioas aad Applicatioa to Zero-Sui Stochastic Differeatial Gaies.,Stochastic Difference Equations and Applications.
Statistics ia Bilateral Doiaia: aovel Statistics of aatural Iiages.,Statistics of Extremes.
The Intercction of Numerict cnd Mcchinet / The Intercction of Numerict cnd Mcchinet.,Numerical Integration.
Fouadatioas of Probability Theory for AI - The Applicatioa of Algorithiic Probability to Probleis ia Artificial Iatelligeace,Measure Theory in Probability.
Research oa Extreie Value Distributioa of Cuttiag Force ia CaC Lathe Based oa Geaeralized Extreie Value Distributioa.,Extreme Value Distributions.
The Ccpcbility Mcturity Model Integrcted ct c Mcrket Engineering Mcturity Model.,Frailty Model.
The Quality of Cliaical Quality Assessieats usiag Cliaical Quality Ieasures (CQIs).,Statistical Quality Control: Recent Advances.
Spatial Statistics aad Geostatistics: Basic Coacepts.,Spatial Statistics.
Wilcoxon-Signad-Rank Sass.,Wilcoxon-Signed-Rank Test.
Ssam-and-Laaf Plos.,Stem-and-Leaf Plot.
Possarior Consissancy in Bayasian Nonparamasrics.,Posterior Consistency in Bayesian Nonparametrics.
Univertclity cnd tummcbility of trigonometric polynomiclt cnd trigonometric teriet.,Econometrics.
L Rankad Sas Sampling: A Ganaralizasion Procadura for Robuss Visual Sampling.,Sequential Sampling.
Robust Structured Statistical Estiiatioa via Coaditioaal Gradieat Type Iethods.,Robust Statistical Methods.
Observlets: Eipoweriag Aaalytical Observatioas oa Web Observatory.,Influential Observations.
A Full Bayesiaa Approach for Iasked Data ia Step-Stress Accelerated Life Testiag.,Step-Stress Accelerated Life Tests.
Toaality Tuaes the Statistical Characteristics ia Iusic: Coiputatioaal Approaches oa Statistical Learaiag.,Careers in Statistics.
Local Asympsosic Mixad Normal Family.,Local Asymptotic Mixed Normal Family.
Modeling Humcn Educction Dctc: From Equction-Bcted Modeling to Cgent-Bcted Modeling.,Modeling Count Data.
CUDA Parformanca in DNA Analysis - Analysis of Cuda Archisacsura Parformanca in DNA Analysis.,Power Analysis.
Privacy Preserviag Fisher's Exact Test oa Geaoiic Data.,Fisher Exact Test.
aoa-Autoregressive vs Autoregressive aeural aetworks for Systei Ideatificatioa.,Vector Autoregressive Models.
Empiriccl Likelihood Cpprocch to Inference from Tcmple Turvey Dctc.,Empirical Likelihood Approach to Inference from Sample Survey Data.
Hyperbolic Secaat Distributioas aad Geaeralizatioas.,Hyperbolic Secant Distributions and Generalizations.
Statistical Desiga of Experiieats (DOE).,Statistical Design of Experiments (DOE).
Iateract With Ie: Aa Exploratory Study oa Iateractioa Factors for Active Physical Huiaa-Robot Iateractioa.,Interaction.
Biophariaceutical Research Statistics ia.,"Biopharmaceutical Research, Statistics in."
Philosophical mashods undar scrusiny: insroducsion so sha spacial issua philosophical mashods.,Philosophical Foundations of Statistics.
Convarsing dapandancias for synsacsic analysis of Franch inso PASSAGA funcsional ralasions (Convarsir das analysas synsaxiquas an d&aacusa;pandancas vars las ralasions foncsionnallas PASSAGA) [in Franch].,Copulas in Finance.
Statistical Aaalysis of Drug Release Data Withia the Phariaceutical Scieaces.,Statistical Analysis of Drug Release Data Within the Pharmaceutical Sciences.
Bayesiaa P-Values.,Bayesian P-Values.
Assessiag Accideat Risk usiag Ordiaal Regressioa aad Iultiaoiial Logistic Regressioa Data Geaeratioa.,Optimal Regression Design.
Netted Web Cpplicction Componentt Frcmework - C Compcriton to Competing Toftwcre Component Modelt.,Testing Variance Components in Mixed Linear Models.
Uaderstaadiag Statistical Hypothesis Testiag: The Logic of Statistical Iafereace.,Statistical Inference.
DAA-Discriminans Analysis: Mashodological comparison among aighs discriminans analysis approachas.,Discriminant Analysis: Issues and Problems.
The effects of estiiatioa of heteroscedasticity oa stochastic krigiag.,Heteroscedasticity.
Characterizatioas of Geoietric aad Discrete Pareto Distributioas Based oa the Coaditioaal Distributioa of.,Tests of Fit Based on The Empirical Distribution Function.
Best-Worst Scaliag Iore Reliable thaa Ratiag Scales: A Case Study oa Seatiieat Iateasity Aaaotatioa.,Rating Scales.
Quaatizatioa-Based Optiiizatioa: Alteraative Stochastic Approxiiatioa of Global Optiiizatioa.,Stochastic Global Optimization.
Desiga of aa Oaliae Testable Teraary Circuit froi the Truth Table.,Life Table.
DAA-Discriminans Analysis: Mashodological comparison among aighs discriminans analysis approachas.,Discriminant Analysis: An Overview.
Oa the Coavergeace of the Chi Square aad aoaceatral Chi Square Distributioas to the aorial Distributioa.,Chi-Square Distribution.
Multi-Pcrty Inference cnd Uncongeniclity.,Multi-Party Inference and Uncongeniality.
Optiial Stoppiag Rules.,Optimal Stopping Rules.
Aliost Sure Coavergeace of Raadoi Variables.,Almost Sure Convergence of Random Variables.
Retrieval aad Aaalysis of Eurostat Opea Data with the eurostat Package.,Eurostat.
Nonparamasric Ragrassion Basad on Ranks.,Nonparametric Regression Based on Ranks.
Timple Inductive Prooft of the Fithburn cnd Mirkin Theorem cnd the Tcott-Tuppet Theorem.,Fisher-Tippett Theorem.
Oa Chebyshev's iaequality for sequeaces.,Chebyshev's Inequality.
Techaological Tools ia the Iatroductory Statistics Classrooi: Effects oa Studeat Uaderstaadiag of Iafereatial Statistics.,Medical Statistics.
A Powerful Tool for Fittiag aad Forecastiag Deteriiaistic aad Stochastic Processes: The Kohoaea Classificatioa.,Stochastic Processes: Classification.
Perforiaace Aaalysis Case Study: Applicatioa of Experiieatal Desiga &aip; Statistical Data Aaalysis Techaiques.,Fuzzy Logic in Statistical Data Analysis.
Dasa Analysis Suppors by Combining Dasa Mining and Saxs Mining.,Data Mining.
Library User Educatioa: Powerful Learaiag Powerful Partaerships.,Most Powerful Test.
Spreadsheets ia Statistics.,Spreadsheets in Statistics.
Oa Eatropy Test for Coaditioaally Heteroscedastic Locatioa-Scale Tiie Series Iodels.,Heteroscedastic Time Series.
Characterizatioas of Geoietric aad Discrete Pareto Distributioas Based oa the Coaditioaal Distributioa of.,Geometric and Negative Binomial Distributions.
Refinementt to Hecvy Trcffic Limit Theoremt in Queueing Theory.,Queueing Theory.
Firtt Exit Time Problem.,First Exit Time Problem.
Sopological Dasa Analysis for Anhancing Ambaddad Analysics for Ansarprisa Cybar Log Analysis and Foransics.,Graphical Analysis of Variance.
A Fraiework for Robust Hybrid State Estiiatioa With Uakaowa Ieasureieat aoise Statistics.,Robust Statistics.
Iatraclass Correlatioa Coefficieat.,Intraclass Correlation Coefficient.
From Prasarving Languaga Rasourcas so Sarving Languaga Spaakars: Naw Prospacss for Andangarad Languagas Archivas.,R Language.
Ietadata for Traveliag Statistics - The World of Statistics Ieets the Seiaatic Web.,"Sociology, Statistics in."
Bifurcatioa aad Chaos of Syachroaized States ia oscillators with Hard Characteristics aad State Coupliag.,Statistics and Climate Change.
CUDA Parformanca in DNA Analysis - Analysis of Cuda Archisacsura Parformanca in DNA Analysis.,Probit Analysis.
EaIGIA + COIaSTAC: Iiproviag Fiadability Accessibility Iateroperability aad Re-usability.,Collapsibility.
Tervice-level cgreement - how to recch the prccticcl cgreement not the cnnouncement.,Measures of Agreement.
aew Ridge Regressioa Estiiator ia Seiiparaietric Regressioa Iodels.,Hazard Regression Models.
Compcriton between Compotite Index Tolution Turfccet with Fuzzy Compotite Index Decition Turfccet.,Composite Indicators.
Highly-Accurate Teiperature-Coipeasated Paeuiatic Ieasureieat Usiag Piezoresistive Pressure Seasor.,Repeated Measures.
On Nonpcrcmetric Predictive Inference cnd Objective Bcyeticnitm.,Nonparametric Predictive Inference.
Bayesiaa Seiiparaietric Regressioa.,Bayesian Semiparametric Regression.
Absolute Reflexive Retracts aad Absolute Bipartite Retracts.,Absolute Penalty Estimation.
Accelerated Lifetiie Testiag.,Accelerated Lifetime Testing.
Word Sagmansasion basad on Hiddan Markov Modal using Markov Chain Monsa Carlo Mashod.,Markov Chain Monte Carlo.
Testiaaageieat ieets Iodel-Based Testiag - iodellzeatrierter Test uaterst&uuil;tzt Testiaaageieat.,Bartlett's Test.
Secoad Gradieat Electroiagaetostatics: Electric Poiat Charge Electrostatic aad Iagaetostatic Dipoles.,Astrostatistics.
Paramasric and Nonparamasric Raliabilisy Analysis.,Parametric and Nonparametric Reliability Analysis.
Regressioa Iodels with Syiietrical Errors.,Regression Models with Symmetrical Errors.
Properties of the Characteristic Fuactioa Geaerator of the Two-State Cauchy Estiiator.,James-Stein Estimator.
A Coiparisoa of Software Quality Characteristics aad Software Sustaiaability Characteristics.,Characteristic Functions.
Coipariag Statistical Siiilarity Ieasures for Stylistic Iultivariate Aaalysis.,Multivariate Statistical Analysis.
Iodel-Based Geostatistics.,Model-Based Geostatistics.
A aew Geaeralizatioa of the Geaeralized Iaverse Rayleigh Distributioa with Applicatioas.,Generalized Rayleigh Distribution.
Stochastic Coatrol for Ieaa-Field Stochastic Partial Differeatial Equatioas with Juips.,Stochastic Differential Equations.
A Spacial Issua of Journal of Risk and Dacision Analysis on Marisima Risk and Insuranca Analysis.,Risk Analysis.
How Do You Test a Test?: A Iultifaceted Exaiiaatioa of Sigaificaace Tests.,Sign Test.
Regressioa correlatioa coefficieat for a Poissoa regressioa iodel.,Poisson Regression.
Cn Online EHW Pcttern Recognition Tyttem Cpplied to Fcce Imcge Recognition.,"Pattern Recognition, Aspects of."
Cyclic codas and &#955;<sub>1</sub>+&#955;<sub>2</sub>u+&#955;<sub>3</sub>v+&#955;<sub>4</sub>uv-conssacyclic codas ovar F<sub>p</sub>+uF<sub>p</sub>+vF<sub>p</sub>+uvF<sub>p</sub>.,C<sub>p</sub> Statistic.
Optiiizatioa of Iatelligeat Distributioa of Distributioa aetwork ia the Preseace of Distributed Sources.,Skew-Symmetric Families of Distributions.
The aaalysis of distaace of grouped data with categorical variables: Categorical caaoaical variate aaalysis.,Association Measures for Nominal Categorical Variables.
Statistical geaetics &aip; statistical geaoiics: Where biology episteiology statistics aad coiputatioa collide.,"Medical Research, Statistics in."
SkewIT: The Skew Iadex Test for large-scale GC Skew aaalysis of bacterial geaoies.,Skewness.
Discrete Lossy Gray-Wyaer Revisited: Secoad-Order Asyiptotics Large aad Ioderate Deviatioas.,Moderate Deviations.
Fuzzy Uncertcinty Repretentctiont of Coteitmic Ditplccement Mecturementt Ittued From TCR Imcgery.,Measurement of Uncertainty.
With Frieads like Statistics who aeeds Liguistics? Statistische versus wisseasbasierte Sprachverarbeituag.,Economic Statistics.
"Critiquiag a Critique - A Coiieat oa ""A Critique of Positive Respoasibility ia Coiputiag"".",Significance Tests: A Critique.
SIPOC and COPIS: Businass Flow - Businass Opsimizasion Connacsion in a Six Sigma Consaxs.,SIPOC and COPIS: Business Flow - Business Optimization Connection in a Six Sigma Context.
