Randomized_String,Original_String
Prior Bayes: Rubia's View of Statistics.,Prior Bayes: Rubin's View of Statistics.
Optimum Experimentcl Detign.,Optimum Experimental Design.
Cram&aacusa;r-Von Misas Ssasissics for Discrasa Dissribusions.,Cram&eacute;r-Von Mises Statistics for Discrete Distributions.
Geometry of Numbert.,Index Numbers.
Bcyeticn Vertut Frequentitt Ttctitticcl Rectoning.,Bayesian Versus Frequentist Statistical Reasoning.
Bootstrap Asyiptotics.,Bootstrap Asymptotics.
Iicrodata Statistical Disclosure Coatrol.,Multivariate Statistical Simulation.
Renewcl Procettet.,Renewal Processes.
Behrent-Fither Problem.,Behrens-Fisher Problem.
aoasaipliag Errors ia Surveys.,Business Surveys.
Iafereace Uader Iaforiative Probability Saipliag.,Inference Under Informative Probability Sampling.
Multilevel Tecurity Policiet.,Multilevel Analysis.
Robutt Inference.,Robust Inference.
Federal Statistics ia the Uaited States Soie Challeages.,Statistical Inference for Quantum Systems.
Forentic DNC: Ttctittict in.,Forensic DNA: Statistics in.
Social Naswork Analysis.,Social Network Analysis.
Bivariate Distributioas.,Bivariate Distributions.
Cutomcted Empiriccl Tuning.,Empirical Processes.
Ecoaoiic Growth aad Well-Beiag: Statistical Perspective.,Economic Growth and Well-Being: Statistical Perspective.
Lateat Factor Iodels aad Iatrix Factorizatioas.,Factorial Experiments.
Borel-Ccntelli Lemmc cnd Itt Generclizctiont.,Borel-Cantelli Lemma and Its Generalizations.
Fraud Iitigatioa.,Fraud in Statistics.
Smoosh Nonlinaar Nonconvax Opsimizasion.,Nonlinear Time Series Analysis.
Persoaally Ideatifiable Data.,Identifiability.
Monsa Carlo Mashods in Ssasissics.,Monte Carlo Methods in Statistics.
Autoiatioa Statistics.,Social Statistics.
Balancad Sampling.,Balanced Sampling.
Parsial Laass Squaras Ragrassion Varsus Oshar Mashods.,Partial Least Squares Regression Versus Other Methods.
Iisuse of Statistics.,Misuse of Statistics.
Businass Foracassing Mashods.,Business Forecasting Methods.
Banking Ssasissics in.,"Banking, Statistics in."
Panmanship.,Panel Data.
Statistics: aelder's View.,Statistics: Nelder's View.
Totcl Turvey Error.,Total Survey Error.
Random Kay Pradissribusion.,Randomization.
Ttochcttic Differenticl Equctiont.,Stochastic Difference Equations and Applications.
Ttctittict of Extremet.,Statistics of Extremes.
Numericcl Integrction Methodt.,Numerical Integration.
Iiller-Rabia Probabilistic Priiality Test.,Measure Theory in Probability.
Extreie Value Statistics.,Extreme Value Distributions.
Frcilty Model.,Frailty Model.
Statistical Quality Coatrol: Receat Advaaces.,Statistical Quality Control: Recent Advances.
Spatial Statistics.,Spatial Statistics.
Wilcoxon-Signad-Rank Sass.,Wilcoxon-Signed-Rank Test.
Stei-aad-Leaf Plot.,Stem-and-Leaf Plot.
Posterior Coasisteacy ia Bayesiaa aoaparaietrics.,Posterior Consistency in Bayesian Nonparametrics.
Tpcticl Econometric Modelt Prediction.,Econometrics.
Fast Sequeatial Creatioa of Raadoi Realizatioas of Degree Sequeaces.,Sequential Sampling.
Robust Statistical Iethods.,Robust Statistical Methods.
Cliaical Observatioa.,Influential Observations.
Step-Stress Accelerated Life Tests.,Step-Stress Accelerated Life Tests.
Ioate Carlo Siiulatioas ia Statistical Physics.,Careers in Statistics.
Local Asyiptotic Iixed aorial Faiily.,Local Asymptotic Mixed Normal Family.
Iodeliag Couat Data.,Modeling Count Data.
Power-Aware Resource Iaaageieat Techaiques for Low-Power Eibedded Systeis.,Power Analysis.
Fishar Axacs Sass.,Fisher Exact Test.
Vector Autoregressive Iodels.,Vector Autoregressive Models.
Empiriccl Likelihood Cpprocch to Inference from Tcmple Turvey Dctc.,Empirical Likelihood Approach to Inference from Sample Survey Data.
Hyparbolic Sacans Dissribusions and Ganaralizasions.,Hyperbolic Secant Distributions and Generalizations.
Statistical Desiga of Experiieats (DOE).,Statistical Design of Experiments (DOE).

Biopharmacausical Rasaarch Ssasissics in.,"Biopharmaceutical Research, Statistics in."
Philosophical Fouadatioas of Statistics.,Philosophical Foundations of Statistics.
Copulas in Financa.,Copulas in Finance.
Ttctitticcl Cnclytit of Drug Relecte Dctc Within the Phcrmcceuticcl Tciencet.,Statistical Analysis of Drug Release Data Within the Pharmaceutical Sciences.
Bayasian P-Valuas.,Bayesian P-Values.
Optimcl Regrettion Detign.,Optimal Regression Design.
Sassing Varianca Componanss in Mixad Linaar Modals.,Testing Variance Components in Mixed Linear Models.
Statistical Fallacies.,Statistical Inference.
Eagiaeeriag Ethics ia Puerto Rico: Issues aad aarratives.,Discriminant Analysis: Issues and Problems.
Heterotcedctticity.,Heteroscedasticity.
Sasss of Fis Basad on Sha Ampirical Dissribusion Funcsion.,Tests of Fit Based on The Empirical Distribution Function.
Ratio Scale.,Rating Scales.
Ssochassic Global Opsimizasion.,Stochastic Global Optimization.
Life Table.,Life Table.
Spike Traia Aaalysis: Overview.,Discriminant Analysis: An Overview.
Chi-Squara Dissribusion.,Chi-Square Distribution.
Multi-Pcrty Inference cnd Uncongeniclity.,Multi-Party Inference and Uncongeniality.
Opsimal Ssopping Rulas.,Optimal Stopping Rules.
Clmott Ture Convergence of Rcndom Vcricblet.,Almost Sure Convergence of Random Variables.
Siagle Euro Payieats Area.,Eurostat.
Nonparamasric Ragrassion Basad on Ranks.,Nonparametric Regression Based on Ranks.
Fisher-Tippett Theorei.,Fisher-Tippett Theorem.
Chabyshav's Inaqualisy.,Chebyshev's Inequality.
Autoiatioa Statistics.,Medical Statistics.
Stochastic Processes.,Stochastic Processes: Classification.
Fuzzy Logic in Ssasissical Dasa Analysis.,Fuzzy Logic in Statistical Data Analysis.
Minimum Dascripsion Langsh Adapsiva Bayasian Mining.,Data Mining.
Moss Powarful Sass.,Most Powerful Test.
Spreadsheet Aaalysis of Liaear Prograis With Uacertaiaty.,Spreadsheets in Statistics.
Heterotcedctticity.,Heteroscedastic Time Series.
Gaomasric and Nagasiva Binomial Dissribusions.,Geometric and Negative Binomial Distributions.
Queueing Theory.,Queueing Theory.
First-Order Regressioa Tree.,First Exit Time Problem.
Graphical Analysis of Varianca.,Graphical Analysis of Variance.
Robust Statistical Iethods.,Robust Statistics.
Correlatioa Coefficieat.,Intraclass Correlation Coefficient.
Logic-Basad Aushorizasion Languagas.,R Language.
Sociology Statistics ia.,"Sociology, Statistics in."
Statistics aad Cliiate Chaage.,Statistics and Climate Change.
Probit Aaalysis.,Probit Analysis.
Collapsibility.,Collapsibility.
Kappa Coefficieat of Agreeieat.,Measures of Agreement.
Hazard Regressioa Iodels.,Hazard Regression Models.

Repeated coatractiag without coiiitieat.,Repeated Measures.
Nonparamasric Pradicsiva Infaranca.,Nonparametric Predictive Inference.
Bayesiaa Spatial Regressioa.,Bayesian Semiparametric Regression.
Deasity Estiiatioa.,Absolute Penalty Estimation.
Cccelercted Lifetime Tetting.,Accelerated Lifetime Testing.
Markov Chain Monsa Carlo.,Markov Chain Monte Carlo.
Bartlett's Test.,Bartlett's Test.
Astrostatistics.,Astrostatistics.
Pcrcmetric cnd Nonpcrcmetric Relicbility Cnclytit.,Parametric and Nonparametric Reliability Analysis.
Regrettion Modelt with Tymmetriccl Errort.,Regression Models with Symmetrical Errors.
Jamas-Ssain Assimasor.,James-Stein Estimator.
Axprassions of Logic Funcsions.,Characteristic Functions.
Autoiatioa Statistics.,Multivariate Statistical Analysis.
Space-Tiie Geostatistics.,Model-Based Geostatistics.
Generclized Rcyleigh Dittribution.,Generalized Rayleigh Distribution.
Stochastic Partial Differeatial Equatioas.,Stochastic Differential Equations.
Risk Analysis and Assassmans: Risk Assassmans Sasks.,Risk Analysis.
Iiller-Rabia Test.,Sign Test.
Poisson Ragrassion.,Poisson Regression.
Passarn Racognision Aspacss of.,"Pattern Recognition, Aspects of."
The L<sub>q</sub>/L<sub>p</sub> Haakel aoris of Positive Systeis.,C<sub>p</sub> Statistic.
Skaw-Symmasric Familias of Dissribusions.,Skew-Symmetric Families of Distributions.
Cttociction Mecturet for Nomincl Cctegoriccl Vcricblet.,Association Measures for Nominal Categorical Variables.
What Research Iastitutioas Caa Do to Foster Research Iategrity.,"Medical Research, Statistics in."
Skewed aoise.,Skewness.
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,Moderate Deviations.
Propcgction of Uncertcinty.,Measurement of Uncertainty.
Explaiaiag Paradoxes ia aoaparaietric Statistics.,Economic Statistics.
Significanca Sasss: A Crisiqua.,Significance Tests: A Critique.
TIPOC cnd COPIT: Butinett Flow - Butinett Optimizction Connection in c Tix Tigmc Context.,SIPOC and COPIS: Business Flow - Business Optimization Connection in a Six Sigma Context.
Confidansialisy Modal.,Confidence Interval.
Finite Mixture Model.,Distance Measures.
Medicn Filtert cnd Extentiont.,Median Filters and Extensions.
Bett Linecr Unbicted Ettimction in Linecr Modelt.,Best Linear Unbiased Estimation in Linear Models.
Rcdon-Nikod&yccute;m Theorem.,Radon-Nikod&yacute;m Theorem.
Dickey-Fuller Tests.,Dickey-Fuller Tests.
Computer Medicted Negotictiont cnd Deception.,"Mean, Median and Mode."
Tcclet of Mecturement cnd Choice of Ttctitticcl Methodt.,Scales of Measurement and Choice of Statistical Methods.
L&eacute;vy Processes.,L&eacute;vy Processes.
Random Walks.,Random Walk.
Optiiality aad Robustaess ia Statistical Forecastiag.,Optimality and Robustness in Statistical Forecasting.
Canonical Analysis and Maasuras of Associasion.,Canonical Analysis and Measures of Association.
Fuzzy Sets: Aa Iatroductioa.,Fuzzy Sets: An Introduction.
Bootttrcp Methodt.,Bootstrap Methods.
Speaker Recogaitioa.,Spectral Analysis.
Cornish-Fishar Axpansions.,Cornish-Fisher Expansions.
Hodgas-Lahmann Assimasors.,Hodges-Lehmann Estimators.
Sampla Siza.,Sample Size Determination.
Pcrcmetric Vertut Nonpcrcmetric Tettt.,Parametric Versus Nonparametric Tests.
Vararbaisung nas&uuml;rlichar Spracha,Variance.
Kolmogorov-Tmirnov Tett.,Kolmogorov-Smirnov Test.
Tcmple Turvey Methodt.,Sample Survey Methods.
Cheraoff-Savage Theorei.,Chernoff-Savage Theorem.
Adapsiva Sampling.,Adaptive Sampling.
Brownicn Motion cnd Diffutiont.,Brownian Motion and Diffusions.
Stratified Cross Validatioa.,Stratified Sampling.
Degreet of Freedom.,Degrees of Freedom.
Nonparamasric Dansisy Assimasion.,Nonparametric Estimation.
Event Hittory Cnclytit.,Event History Analysis.
Ergodic Theorem.,Ergodic Theorem.
Iethods of Ioieats Estiiatioa.,Methods of Moments Estimation.
Statistical Quality Coatrol: Receat Advaaces.,Statistical Quality Control.
Tex Rctio ct Birth.,Sex Ratio at Birth.
Invertion of Bcyet' Formulc for Eventt.,Inversion of Bayes' Formula for Events.
Interpreting Mixed Memberthip.,Linear Mixed Models.
Kullback-Leibler Divergeace.,Kullback-Leibler Divergence.
Decisioa Trees for the Teachiag of Statistical Estiiatioa.,Decision Trees for the Teaching of Statistical Estimation.
Spatio-teiporal clusteriag.,Spatio-temporal clustering.
Introduction to Knowledge Ditcovery cnd Dctc Mining.,Introduction to Knowledge Discovery and Data Mining.
Iaforiatioa Fusioa - Iethods aad Aggregatioa Operators.,Information Fusion - Methods and Aggregation Operators.
Text Iiaiag aad Iaforiatioa Extractioa.,Text Mining and Information Extraction.
Collaborative DoS Defeases.,Collaborative Data Mining.
Gaomasric Mashods for Faasura Axsracsion and Dimansional Raducsion - A Guidad Sour.,Geometric Methods for Feature Extraction and Dimensional Reduction - A Guided Tour.
Rule Induction.,Rule Induction.
Statistical aatural Laaguage Processiag.,Statistical Methods for Data Mining.
Temi-infinite Progrcmming: Ditcretizction Methodt.,Discretization Methods.
Geometric Ttrecm Mining.,Data Stream Mining.
Iiaiag Tiie Series Data.,Mining Time Series Data.
Web Mining.,Web Mining.
Mining with Rcre Cctet.,Mining with Rare Cases.
Handling Missing Assribusa Valuas.,Handling Missing Attribute Values.
Weka-A Iachiae Learaiag Workbeach for Data Iiaiag.,Weka-A Machine Learning Workbench for Data Mining.
Geaetically Iiproved Software.,Commercial Data Mining Software.
A Review of Reiaforceieat Learaiag Iethods.,A Review of Reinforcement Learning Methods.
Laarning Informasion Passarns in Biological Dasabasas - Ssochassic Dasa Mining.,Learning Information Patterns in Biological Databases - Stochastic Data Mining.
Dasa Mining for CRM.,Data Mining for CRM.
Graaular Coiputiag aad Rough Sets - Aa Iacreieatal Developieat.,Granular Computing and Rough Sets - An Incremental Development.
Organizasion Culsura.,Organizational Data Mining.
Passarn Clussaring Using a Swarm Insalliganca Approach.,Pattern Clustering Using a Swarm Intelligence Approach.
A Review of Web Docuieat Clusteriag Approaches.,A Review of Web Document Clustering Approaches.
Decition Rule.,Association Rules.
Deductive Dctc Mining Model for Cutomcted Dctc Mining.,Data Mining for Intrusion Detection.
Naural Nasworks For Dasa Mining.,Neural Networks For Data Mining.
aHECD - aaao Health aad Eaviroaieatal Coiieated Database.,NHECD - Nano Health and Environmental Commented Database.
Privacy-Prasarving Dasa Mining.,Privacy in Data Mining.
Ttochcttic Quctigrcdient Methodt in Minimcx Problemt.,Wavelet Methods in Data Mining.
Supervised Learaiag.,Ensemble Methods in Supervised Learning.
Dasa Mining for Imbalancad Dasasass: An Ovarviaw.,Data Mining for Imbalanced Datasets: An Overview.
Iaterestiagaess Ieasures - Oa Deteriiaiag What Is Iaterestiag.,Interestingness Measures - On Determining What Is Interesting.
Data Iiaiag Query Laaguages.,Data Mining Query Languages.
Iiaiag Coacept-Driftiag Data Streais.,Mining Concept-Drifting Data Streams.
Usiag Fuzzy Logic ia Data Iiaiag.,Using Fuzzy Logic in Data Mining.
Relatioaship of Reliaace.,Relational Data Mining.
Dasa Mining using Dacomposision Mashods.,Data Mining using Decomposition Methods.
Dasa Mining for Financial Applicasions.,Data Mining for Financial Applications.
Spatial Autocorrelatioa aad Spatial Iateractioa.,Spatial Data Mining.
Iiaiag High-Diieasioaal Data.,Mining High-Dimensional Data.
Conttrcint-Bcted Mining.,Constraint-based Data Mining.
Mining Mulsi-labal Dasa.,Mining Multi-label Data.
Support Vector Iachiaes.,Support Vector Machines.
Frequent Itemtet Mining.,Frequent Set Mining.
Dimention Reduction cnd Fecture Telection.,Dimension Reduction and Feature Selection.
Metc-Lecrning - Conceptt cnd Techniquet.,Meta-Learning - Concepts and Techniques.
Pcrcllel cnd Grid-Bcted Dctc Mining - Clgorithmt Modelt cnd Tyttemt for High-Performcnce KDD.,"Parallel and Grid-Based Data Mining - Algorithms, Models and Systems for High-Performance KDD."
Causal Discovery.,Causal Discovery.
Iultiple Target Trackiag.,Data Mining for Target Marketing.
Supervised Learaiag.,Supervised Learning.
Bias vs Variaace Decoipositioa for Regressioa aad Classificatioa.,Bias vs Variance Decomposition for Regression and Classification.
Data Iiaiag withia a Regressioa Fraiework.,Data Mining within a Regression Framework.
Vitucl Cnclytit of Tequencet Uting Frcctcl Geometry.,Visual Analysis of Sequences Using Fractal Geometry.
Deductive Dctc Mining Model for Cutomcted Dctc Mining.,Data Mining Model Comparison.
Bayesiaa Ieta-Prior Learaiag Usiag Eipirical Bayes.,Bayesian Networks.
A Raviaw of Avolusionary Algorishms for Dasa Mining.,A Review of Evolutionary Algorithms for Data Mining.
Biomediccl Dctc Mining Tpcticl.,Multimedia Data Mining.
Outlier Detection.,Outlier Detection.
Link Analysis.,Link Analysis.
Quality Assessieat Approaches ia Data Iiaiag.,Quality Assessment Approaches in Data Mining.
Dasa Claansing: A Praluda so Knowladga Discovary.,Data Cleansing: A Prelude to Knowledge Discovery.
A survey of Clusteriag Algorithis.,A survey of Clustering Algorithms.
Mining Tocicl Medic Dctc.,Data Mining in Medicine.
Logics for Dasa Mining.,Logics for Data Mining.
Classificatioa Trees.,Classification Trees.
Dctc Mining cnd Knowledge Ditcovery Hcndbook 2nd ed.,"Data Mining and Knowledge Discovery Handbook, 2nd ed."
Fractal Iiaiag - Self Siiilarity-based Clusteriag aad its Applicatioas.,Fractal Mining - Self Similarity-based Clustering and its Applications.
Ambians Insalliganca Anvironmanss.,Ambient Intelligence Environments.
Mobila Roboss Navigasion Mapping and Localizasion Pars II.,"Mobile Robots Navigation, Mapping, and Localization Part I."
Streai Processiag of a aeural Classifier I.,Stream Processing of a Neural Classifier I.
Haadliag Fuzzy Siiilarity for Data Classificatioa.,Handling Fuzzy Similarity for Data Classification.
aelder-Iead Evolutioaary Hybrid Algorithis.,Nelder-Mead Evolutionary Hybrid Algorithms.
Suparvisad Laarning of Fuzzy Logic Syssams.,Supervised Learning of Fuzzy Logic Systems.
Ssasa-of-sha-Ars on Vidao-Basad Faca Racognision.,State-of-the-Art on Video-Based Face Recognition.
C Hybrid Tyttem for Cutomctic Infcnt Cry Recognition II.,A Hybrid System for Automatic Infant Cry Recognition II.
Kohonan Maps and SS Algorishms.,Kohonen Maps and TS Algorithms.
AA Mulsi-Modal Salacsion for SVM.,EA Multi-Model Selection for SVM.
Propagatioa of Uacertaiaty.,Interactive Systems and Sources of Uncertainties.
Harmony Saarch for Mulsipla Dam Schaduling.,Harmony Search for Multiple Dam Scheduling.
Basic Callular Naural Nasworks Imaga Procassing.,Basic Cellular Neural Networks Image Processing.
Iatelligeat Software Ageats Aaalysis ia E-Coiierce II.,Intelligent Software Agents Analysis in E-Commerce II.
Coiplex Systeis Iodeliag by Cellular Autoiata.,Complex Systems Modeling by Cellular Automata.
Adapsiva Nauro-Fuzzy Syssams.,Adaptive Neuro-Fuzzy Systems.
Acsiva Laarning wish SVM.,Active Learning with SVM.
Emerging Technologiet.,Emerging Applications in Immersive Technologies.
Feed-Forwcrd Crtificicl Neurcl Network Bctict.,Feed-Forward Artificial Neural Network Basics.
Tree Augieated aaive Bayes.,Decision Tree Applications for Data Modelling.
Class Predictioa ia Test Sets with Shifted Distributioas.,Class Prediction in Test Sets with Shifted Distributions.
Chcotic Neurcl Networkt.,Chaotic Neural Networks.
Proteia Structure Predictioa by Fusioa Bayesiaa Iethods.,"Protein Structure Prediction by Fusion, Bayesian Methods."
Mulsilogissic Ragrassion by Producs Uniss.,Multilogistic Regression by Product Units.
Aaalytics for aoisy Uastructured Text Data I.,Analytics for Noisy Unstructured Text A Data II.
Vituclizing Ccncer Dctcbctet Uting Hybrid Tpccet.,Visualizing Cancer Databases Using Hybrid Spaces.
Voltage Iastability Detectioa Usiag aeural aetworks.,Voltage Instability Detection Using Neural Networks.
Hierarchical aeuro-Fuzzy Systeis Part II.,Hierarchical Neuro-Fuzzy Systems Part II.
Cmbient Intelligence.,Ambient Intelligence.
Knowledge Mcncgement cnd Ritk Mcncgement.,Knowledge Management Systems Procedural Development.
Bioietric Security Techaology.,Biometric Security Technology.
Improving sha Na&iuml;va Bayas Classifiar.,Improving the Na&iuml;ve Bayes Classifier.
Device-Level Mcjority von Neumcnn Multiplexing.,Device-Level Majority von Neumann Multiplexing.
Bio-Inspirad Algorishms in Bioinformasics I.,Bio-Inspired Algorithms in Bioinformatics I.
Fuzzy Logic Cpplied to Biomediccl Imcge Cnclytit.,Fuzzy Logic Applied to Biomedical Image Analysis.
Wava Raflacsion as Submargad Braakwasars.,Wave Reflection at Submerged Breakwaters.
Hybrid Dual Caiera Visioa Systeis.,Hybrid Dual Camera Vision Systems.
CNN Development with EC Toolt.,ANN Development with EC Tools.
Fiadiag Iultiple Solutioas with GA ia Iultiiodal Probleis.,Finding Multiple Solutions with GA in Multimodal Problems.
Iatelligeat Query Aasweriag Iechaaisi ia Iulti Ageat Systeis.,Intelligent Query Answering Mechanism in Multi Agent Systems.
HOPS.,HOPS.
Probabilistic Logic Learaiag.,Information Theoretic Learning.
Algorishms for Associasion Rula Mining.,Algorithms for Association Rule Mining.
Morphologiccl Filtering Principlet.,Morphological Filtering Principles.
Grammar-Guidad Ganasic Programming.,Grammar-Guided Genetic Programming.
Incorporasing Fuzzy Logic in Dasa Mining Sasks.,Incorporating Fuzzy Logic in Data Mining Tasks.
Iodal Logics for Reasoaiag about Iultiageat Systeis.,Modal Logics for Reasoning about Multiagent Systems.
Ganasic Algorishm Applicasions so Opsimizasion Modaling.,Genetic Algorithm Applications to Optimization Modeling.
aeural aetworks aad HOS for Power Quality Evaluatioa.,Neural Networks and HOS for Power Quality Evaluation.
Evolutioaary Approaches for Aaas Desiga.,Evolutionary Approaches for ANNs Design.
Swarm Insalliganca Approach for Ad-Hoc Nasworks.,Swarm Intelligence Approach for Ad-Hoc Networks.
Liss Ranking.,Ranking Functions.
Mulsi-Objacsiva Avolusionary Algorishms.,Multi-Objective Evolutionary Algorithms.
Entemble of TVM Clcttifiert for Tpcm Filtering.,Ensemble of SVM Classifiers for Spam Filtering.
Cluttering Clgorithm for Crbitrcry Dctc Tett.,Clustering Algorithm for Arbitrary Data Sets.
Parsicla Swarm Opsimizasion.,Particle Swarm Optimization and Image Analysis.
Quclity Mecturet in Biometric Tyttemt.,Computational Methods in Biomedical Imaging.
Nonlinecr Techniquet for Tignclt Chcrccterizction.,Nonlinear Techniques for Signals Characterization.
Crtificicl Neurcl Networkt cnd Cognitive C Modelling.,Artificial Neural Networks and Cognitive A Modelling.
Coatiauous ACO ia a SVR Traffic Forecastiag Iodel.,Continuous ACO in a SVR Traffic Forecasting Model.
Geaetic Algorithis for Wireless Seasor aetworks.,Genetic Algorithms for Wireless Sensor Networks.
Adaptive Chosea Plaiatext Attack.,Adaptive Technology and Its Applications.
Digital Techaologies ia Higher Educatioa Learaiag Challeages.,Ontologies for Education and Learning Design.
Tpike-Timing-Dependent Plctticity Lecrning Rulet.,Dependency Parsing.
Coibiaiag Classifiers aad Learaiag Iixture-of-Experts.,Combining Classifiers and Learning Mixture-of-Experts.
Feature Selectioa.,Feature Selection.
Statistical Siiulatioas oa Perceptroa-Based Adders.,Statistical Simulations on Perceptron-Based Adders.
The Deipster-Shafer Theory.,The Dempster-Shafer Theory.
Mobila Roboss Navigasion Mapping and Localizasion Pars II.,"Mobile Robots Navigation, Mapping, and Localization Part II."
Entemble of CNN for Trcffic Tign Recognition.,Ensemble of ANN for Traffic Sign Recognition.
Statistical Iodelliag of Highly Iaflective Laaguages.,Statistical Modelling of Highly Inflective Languages.
EC Techniquet in the Ttructurcl Concrete Field.,EC Techniques in the Structural Concrete Field.
IA Algorishm Accalarasion Using GPUs.,IA Algorithm Acceleration Using GPUs.
Plaaaiag Ageat for Geriatric Resideaces.,Planning Agent for Geriatric Residences.
Kaowledge Iaaageieat Tools aad Their Desirable Characteristics.,Knowledge Management Tools and Their Desirable Characteristics.
A Loagitudiaal Aaalysis of Labour Iarket Data with SOI.,A Longitudinal Analysis of Labour Market Data with SOM.
Arsificial NauroGlial Nasworks.,Artificial NeuroGlial Networks.
Funcsional Dimansion Raducsion for Chamomasrics.,Functional Dimension Reduction for Chemometrics.
Hierarchical aeuro-Fuzzy Systeis Part II.,Hierarchical Neuro-Fuzzy Systems Part I.
Behaviour-Based Clusteriag of aeural aetworks.,Behaviour-Based Clustering of Neural Networks.
Autoiatic Classificatioa of Iipact-Echo Spectra II.,Automatic Classification of Impact-Echo Spectra II.
Mulsi-Objacsiva Sraining of Naural Nasworks.,Multi-Objective Training of Neural Networks.
Aaalytics for aoisy Uastructured Text Data I.,Analytics for Noisy Unstructured Text Data I.
Shorsaning Ausomasad Nagosiasion Shraads via Naural Nass.,Shortening Automated Negotiation Threads via Neural Nets.
AI aad Ideas by Statistical Iechaaics.,AI and Ideas by Statistical Mechanics.
Adaptive aeural Algorithis for PCA aad ICA.,Adaptive Neural Algorithms for PCA and ICA.
Lecrning in Feed-Forwcrd Crtificicl Neurcl Networkt II.,Learning in Feed-Forward Artificial Neural Networks II.
Web-Based Assessieat Systei Applyiag Iaay-Valued Logic.,Web-Based Assessment System Applying Many-Valued Logic.
Fundamansal Collacsiva Bahaviors in Swarm Robosics.,Swarm Robotics.
Onsologias and Procassing Passarns for Microarrays.,Ontologies and Processing Patterns for Microarrays.
Navigasion by Imaga-Basad Visual Homing.,Navigation by Image-Based Visual Homing.
Sharmal Dasign of Gas-Firad Cooksop Burnars Shrough ANN.,Thermal Design of Gas-Fired Cooktop Burners Through ANN.
aatural Laaguage Uaderstaadiag aad Assessieat.,Natural Language Understanding and Assessment.
Eaergy Iiaiiiziag Active Iodels ia Artificial Visioa.,Energy Minimizing Active Models in Artificial Vision.
Robott in Educction.,Robots in Education.
AVI of Surfaca Flaws on Manufacsuras II.,AVI of Surface Flaws on Manufactures II.
Condisional Hazard Assimasing Naural Nasworks.,Conditional Hazard Estimating Neural Networks.
A Coiparative Study oa E-aote-Takiag.,A Comparative Study on E-Note-Taking.
Nasural Languaga Procassing and Biological Mashods.,Natural Language Processing and Biological Methods.
Diffaransial Avolusion wish Salf-Adapsasion.,Differential Evolution with Self-Adaptation.
Rule Enginet cnd Cgent-Bcted Tyttemt.,Rule Engines and Agent-Based Systems.
Cutomcted Cryptcnclytit.,Automated Cryptanalysis.
Fuzzy Decition Treet.,Fuzzy Decision Trees.
Ditcovering Mcppingt Between Ontologiet.,Discovering Mappings Between Ontologies.
Complax-Valuad Naural Nasworks.,Complex-Valued Neural Networks.
Detigning Untupervited Hiercrchiccl Fuzzy Logic Tyttemt.,Designing Unsupervised Hierarchical Fuzzy Logic Systems.
A Comparison of Cooling Schadulas for Simulasad Annaaling.,A Comparison of Cooling Schedules for Simulated Annealing.
Fuzzy Rule Iaterpolatioa.,Fuzzy Rule Interpolation.
Artificial Iatelligeace for Iaforiatioa Retrieval.,Artificial Intelligence for Information Retrieval.
Dctc Wcrehouting Development cnd Detign Methodologiet.,Data Warehousing Development and Design Methodologies.
Bliad Source Separatioa by ICA.,Blind Source Separation by ICA.
Sigaed Foriulae as a aew Update Process.,Signed Formulae as a New Update Process.
Teachiag Iachiaes to Fiad aaies.,Teaching Machines to Find Names.
Ttctioncry Dentity of Ttochcttic Tecrch Procettet.,Stationary Density of Stochastic Search Processes.
High Level Detign Cpprocch for FPGC Implementction of CNNt.,High Level Design Approach for FPGA Implementation of ANNs.
Crtificicl Neurcl Network.,Modularity in Artificial Neural Networks.
ANN-Basad Dafacss' Diagnosis of Indussrial A Opsical Davicas.,ANN-Based Defects' Diagnosis of Industrial A Optical Devices.
Lecrning in Feed-Forwcrd Crtificicl Neurcl Networkt I.,Learning in Feed-Forward Artificial Neural Networks I.
Fuzzy Logic Ettimctor for Vcricnt TNR Environmentt.,Fuzzy Logic Estimator for Variant SNR Environments.
AVI of Surfaca Flaws on Manufacsuras I.,AVI of Surface Flaws on Manufactures I.
CaS Tuior Predictioa Usiag Geae Expressioa Data Part I.,CNS Tumor Prediction Using Gene Expression Data Part I.
Streai Processiag of a aeural Classifier I.,Stream Processing of a Neural Classifier II.
Arsificial Insalliganca and Rubbla-Mound Braakwasar Ssabilisy.,Artificial Intelligence and Rubble-Mound Breakwater Stability.
Radial Basis Funcsion Naural Nasworks.,Functional Networks.
2D-PCGE Cnclytit Uting Evolutioncry Computction.,2D-PAGE Analysis Using Evolutionary Computation.
Evolutioaary Coiputiag Approach for Ad-Hoc aetworks.,Evolutionary Computing Approach for Ad-Hoc Networks.
Growiag Self-Orgaaiziag Iaps for Data Aaalysis.,Growing Self-Organizing Maps for Data Analysis.
Hierarchical Reiaforceieat Learaiag.,Hierarchical Reinforcement Learning.
Ancyclopadia of Arsificial Insalliganca (3 Volumas),Encyclopedia of Artificial Intelligence (3 Volumes)
Oatology Aligaieat Overview.,Ontology Alignment Overview.
Artificial Iatelligeace ia Educatioa.,Artificial Intelligence and Education.
Fuzzy Modeling Fundcmentclt.,Fuzzy Systems Modeling.
PID aad State Feedback Coatrollers Usiag DaA Straad Displaceieat Reactioas.,Distributed Constraint Reasoning.
Autoiatic Classificatioa of Iipact-Echo Spectra I.,Automatic Classification of Impact-Echo Spectra I.
Support Vector Iachiaes.,Support Vector Machines.
