Randomized_String,Original_String
Modelling Context-Cwcre Tecurity for Electronic Heclth Recordt.,Modelling Context-Aware Security for Electronic Health Records.
Buildiag Secure aad Depeadable Iaforiatioa Systeis.,Building Secure and Dependable Information Systems.
"Informction Tecurity cnd the ""Privccy Broker"".","Information Security and the ""Privacy Broker""."
Computer Ethict cnd Intelligent Technologiet.,Computer Ethics and Intelligent Technologies.
Reverte Engineering Reengineering cnd Concurrent Engineering of Toftwcre.,Engineering Multi-Agent Systems.
Morphological Scala Spaca and Mashamasical Morphology.,Mathematical Morphology.
Probcbilittic Verificction of Elementcry Geometry Ttctementt.,Logical Theories for Fragments of Elementary Geometry.
Modal Logics of Spaca.,Modal Logics of Space.
A Causal Perspective to Qualitative Spatial Reasoaiag ia the Situatioa Calculus.,Qualitative Spatial Reasoning Using Constraint Calculi.
Tpcticl Logic + Temporcl Logic = ?.,Spatial Logic + Temporal Logic = ?.
Locales aad Toposes as Spaces.,Locales and Toposes as Spaces.
Axiois Algebras aad Topology.,"Axioms, Algebras and Topology."
Handbook of Spasial Logics,Handbook of Spatial Logics
First-Order Iereotopology.,First-Order Mereotopology.
Sopology and Apissamic Logic.,Topology and Epistemic Logic.
Spasial Raasoning and Onsology: Parss Wholas and Locasions.,"Spatial Reasoning and Ontology: Parts, Wholes, and Locations."
Logic of Tpcce-Time cnd Relctivity Theory.,Logic of Space-Time and Relativity Theory.
Lower Bouads ia Real Algebraic Geoietry aad Orieatability of Real Toric Varieties.,Real Algebraic Geometry and Constraint Databases.
What Iakes Spatial Data Big? A Discussioa oa How to Partitioa Spatial Data.,What is Spatial Logic?
Unsanglad: A Complasa Dynamic Sopological Logic.,Dynamic Topological Logic.
Optiial Discrete Spatial Coipressioa for Beaispace Iassive IIIO Sigaals.,Discrete Spatial Models.
Usability Evaluatioa of Digital Library.,Usability Evaluation of Digital Library.
Samansic Associasion Analysis in Onsology-Basad Informasion Rasriaval.,Semantic Association Analysis in Ontology-Based Information Retrieval.
Ttcndcrdizction of Termt Cpplying Finite-Ttcte Trcntducert (FTT).,Standardization of Terms Applying Finite-State Transducers (FST).
Editorial: Iateractioaal Digital Libraries: Iatroductioa to the Special Issue oa Iateractivity ia Digital Libraries.,Automatic Text Summarization in Digital Libraries.
The Digital POWRR Project: Eaabliag Collaborative Pragiatic Digital Preservatioa Approaches.,Digital Preservation.
A Review of Progress ia Digital Library Educatioa.,A Review of Progress in Digital Library Education.
How Well Do Service Coacepts Apply to Digital Services aad Service Digitalizatioa?,Reference Services in Digital Environment.
Editorial: Iateractioaal Digital Libraries: Iatroductioa to the Special Issue oa Iateractivity ia Digital Libraries.,Computational Sense for Digital Librarians.
Coipariag Opea Source Digital Library Software.,Comparing Open Source Digital Library Software.
Towards a Holistic Approach to Policy Iateroperability ia Digital Libraries aad Digital Repositories.,Towards Multimedia Digital Libraries.
Associatioa Rule Based Clusteriag of Electroaic Resources ia Uaiversity Digital Library.,An Empirical Analysis of the Utilization of University Digital Library Resources.
Dasa Warahousas and GIS.,DL and GIS.
Duplicate Jouraal Title Detectioa ia Refereaces.,Duplicate Journal Title Detection in References.
Informction Retrievcl: Tecrching in the 21tt Century; Humcn Informction Retrievcl.,Music Information Retrieval.
Capability Assessieat of Iadividual Software Developieat Processes Usiag Software Repositories aad DEA.,Software Process Asset Libraries Using Knowledge Repositories.
Seiaatic Aaaotatioa aad Retrieval of Iiages ia Digital Libraries.,Semantic Annotation and Retrieval of Images in Digital Libraries.
Digital Libraries Beyoad Cultural Heritage Iaforiatioa.,Digital Libraries Beyond Cultural Heritage Information.
Desigaiag Docuieats to Eahaace the Perforiaace of Digital Libraries: Tiie Space People aad a Digital Library oa Loadoa.,The Role and Integration of Digital Libraries in E-Learning.
Developiag Digital Libraries for Uaiversity Educatioa - Tsiaghua Architecture Digital Library Study.,USGS Digital Libraries for Coastal and Marine Science.
Developiag Digital Libraries for Uaiversity Educatioa - Tsiaghua Architecture Digital Library Study.,Development of Digital Libraries in Pakistan.
Digital Libraries aad Special Libraries: Iaitial Coaceras of Special Libraries ia the Social Welfare Sector.,Digital Libraries as Centres of Knowledge.
Digital Libraries as a Fouadatioa of Spatial Data Iafrastructures.,Digital Libraries as a Foundation of Spatial Data Infrastructures.
Effective aad Efficieat Iadexiag for Large Video Databases.,Effective and Efficient Browsing of Large Image Databases.
Vitucl Pcttern Bcted Compretted Domcin Imcge Retrievcl.,Visual Pattern Based Compressed Domain Image Retrieval.
A Iusical Web Iiaiag aad Audio Feature Extractioa Exteasioa to The Greeastoae Digital Library Software.,The Greenstone Digital Library Software.
Virtual Archival Exhibitioa Systei: Aa Authoriag Tool for Developiag Web-based Virtual Exhibitioas.,From Digital Archives to Virtual Exhibitions.
The Strategic Plaa of Digital Libraries.,The Strategic Plan of Digital Libraries.
Oa the Effectiveaess of Social Taggiag for Resource Discovery.,On the Effectiveness of Social Tagging for Resource Discovery.
User-Adapted Iaforiatioa Services.,User-Adapted Information Services.
BIVALDI the Digital Library of the Valeaciaa Bibliographic Iaheritaace.,BIVALDI the Digital Library of the Valencian Bibliographic Inheritance.
Editorial: Iateractioaal Digital Libraries: Iatroductioa to the Special Issue oa Iateractivity ia Digital Libraries.,Metadata and Metaphors in Visual Interfaces to Digital Libraries.
Gold at the Ead of the Digital Library Raiabow: Forecastiag the Coasequeaces of Truly Effective Digital Libraries.,Digital Library Requirements.
aew Roles of Digital Libraries.,New Roles of Digital Libraries.
Haadbook of Research oa Digital Libraries: Desiga Developieat aad Iipact,"Handbook of Research on Digital Libraries: Design, Development, and Impact"
OpenDLib.,OpenDLib.
Detign cnd Development of cn Integrcted Development Environment for the Driving Timulction Toftwcre Mcve.,Design and Development of a Taxonomy Generator.
Visualisatioa of Clieat aetworks froi a Large Database.,Visualisation of Large Image Databases.
Uting Topic-Tpecific Rcnkt to Pertonclize Web Tecrch.,Using Topic-Specific Ranks to Personalize Web Search.
Iap-Based User Iaterfaces for Iusic Iaforiatioa Retrieval.,Map-Based User Interfaces for Music Information Retrieval.
Digital Library Appropriatioa ia the Coatext of SubSaharaa Couatries: the Case of eGraaary Digital Library Iipleieatatioa.,The European Approach Towards Digital Library Education.
Extractiag the Esseatial Siiplicity of the Iateraet.,Extracting the Essence.
Developiag Digital Libraries for Uaiversity Educatioa - Tsiaghua Architecture Digital Library Study.,User Profiles for Personalizing Digital Libraries.
The Iatersectioa of Public Policy aad Public Access: Digital Divides Digital Literacy Digital Iaclusioa aad Public Libraries.,The Future of Learning with Digital Libraries.
Exteasible Digital Library Service Platfori.,Extensible Digital Library Service Platform.
A Ietadata Scheia Registry as a Tool to Eahaace Ietadata Iateroperability.,Metadata Interoperability.
Cccett cnd Control; Digitcl Librcriet; Informction Ethict; Privccy; Tecurity.,Access and Control; Digital Libraries; Information Ethics; Privacy; Security.
Uasustaiaable Digital Cultural Collectioas.,Guidelines for Developing Digital Cultural Collections.
Sha CGIAR Virsual Library Bridging sha Gap Baswaan Agriculsural Rasaarch and Worldwida Usars.,The CGIAR Virtual Library Bridging the Gap Between Agricultural Research and Worldwide Users.
Word Sagmansasion in Indo-China Languagas for Digisal Librarias.,Word Segmentation in Indo-China Languages for Digital Libraries.
Gold at the Ead of the Digital Library Raiabow: Forecastiag the Coasequeaces of Truly Effective Digital Libraries.,Personal Digital Libraries.
Digisal Library Sarvica Syssam; Digisal Library Syssam; Documans Modal; Grid Compusing; Grid Infrassrucsura; Inssisusional Raposisory; Sarvica Oriansad Archisacsura.,Digital Library Service System; Digital Library System; Document Model; Grid Computing; Grid Infrastructure; Institutional Repository; Service Oriented Architecture.
Digital Libraries Overview aad Globalizatioa.,Digital Libraries Overview and Globalization.
Digital Librariaaship &aip; Social Iedia: the Digital Library as Coaversatioa Facilitator.,Digital Libraries and Ontology.
Iiproviag Iultiiedia Digital Libraries Usability Applyiag aLP Seateace Siiilarity to Iultiiodal Seateaces.,Improving Multimedia Digital Libraries Usability Applying NLP Sentence Similarity to Multimodal Sentences.
Haadhelds for Digital Libraries.,Handhelds for Digital Libraries.
A Robust Iedical Speech-to-Speech/Speech-to-Siga Phraselator.,Speechfind.
A Classificatioa Scheie for Iaaovative Types ia Scholarly Coiiuaicatioa.,A Classification Scheme for Innovative Types in Scholarly Communication.
Digital Librariaaship &aip; Social Iedia: the Digital Library as Coaversatioa Facilitator.,Core Topics in Digital Library Education.
Copyright Pateat aad Trade Secret oa Digital Libraries: Curreat Issues aad Future Treads.,Patent and Trade Secret in Digital Libraries.
Tymbolic Model Checking.,BDD-Based Symbolic Model Checking.
Oa the Coipositioa of Coipositioaal Reasoaiag.,Compositional Reasoning.
Abstractioa aad Abstractioa Refiaeieat.,Abstraction and Abstraction Refinement.
Sransfar of Modal Chacking so Indussrial Pracsica.,Transfer of Model Checking to Industrial Practice.
Combining Model Checking cnd Dctc-Flow Cnclytit.,Combining Model Checking and Deduction.
Cutomctc Theory cnd Model Checking.,Automata Theory and Model Checking.
Towcrdt Combining Model Checking cnd Proof Checking.,Combining Model Checking and Testing.
Predicate Abstractioa for Prograi Verificatioa.,Predicate Abstraction for Program Verification.
Towcrdt Combining Model Checking cnd Proof Checking.,SAT-Based Model Checking.
A Uaifyiag Iodel Checkiag Approach for Safety Properties of Paraieterized Systeis.,Model Checking Parameterized Systems.
Cpplicctiont of Crcig Interpolction to Model Checking.,Introduction to Model Checking.
Proposisional SAS Solving.,Propositional SAT Solving.
A Tutorial oa Satisfiability Iodulo Theories.,Satisfiability Modulo Theories.
Iodular Verificatioa of Hybrid Systei Code with VCC.,Verification of Hybrid Systems.
Quo Vcdit Explicit-Ttcte Model Checking.,Explicit-State Model Checking.
Verified Verifiert for Verifying Electiont.,Modeling for Verification.
Statistical Iodel Checkiag of Black-Box Probabilistic Systeis.,Model Checking Probabilistic Systems.
LTL Iodel Checkiag for Security Protocols.,Model Checking Security Protocols.
The mu-cclculut cnd Model Checking.,The mu-calculus and Model Checking.
Bounded Model Checking of Concurrent Progrcmt.,Model Checking Concurrent Programs.
Teiporal Logic aad Fair Discrete Systeis.,Temporal Logic and Fair Discrete Systems.
Computing Mutction Covercge in Interpolction-Bcted Model Checking.,Interpolation and Model Checking.
Tymbolic Model Checking.,Symbolic Model Checking in Non-Boolean Domains.
Guard-Based Partial-Order Reductioa.,Partial-Order Reduction.
Iodel Checkiag Procedural Prograis.,Model Checking Procedural Programs.
Towcrdt Combining Model Checking cnd Proof Checking.,Handbook of Model Checking.
Funcsional Spacificasion of Hardwara via Samporal Logic.,Functional Specification of Hardware via Temporal Logic.
Graph Gaies aad Reactive Syathesis.,Graph Games and Reactive Synthesis.
Syibolic Trajectory Evaluatioa.,Symbolic Trajectory Evaluation.
Combining Model Checking cnd Dctc-Flow Cnclytit.,Combining Model Checking and Data-Flow Analysis.
Model Checking Recl-Time Tyttemt.,Model Checking Real-Time Systems.
Process Algebra aad Iodel Checkiag.,Process Algebra and Model Checking.
Parallel algorithis to a parallel hardware: Desigaiag visioa algorithis for a GPU.,Parallel algorithms in geometry.
The ditcrepcncy method in computctioncl geometry.,The discrepancy method in computational geometry.
Oa the Skeletoa of the Ietric Polytope.,Polytope Skeletons and Paths.
Crystals aad quasicrystals.,Crystals and quasicrystals.
Hcndbook of Ditcrete cnd Computctioncl Geometry Tecond Edition.,"Handbook of Discrete and Computational Geometry, Second Edition."
Sphere packiag aad codiag theory.,Sphere packing and coding theory.
Eulericn polynomiclt for tubcrrcngementt of Weyl crrcngementt.,Arrangements.
Helly-Type Theoreis aad Geoietric Traasversals.,Helly-Type Theorems and Geometric Transversals.
Geoietric applicatioas of the grassiaaa-cayley algebra.,Geometric applications of the grassmann-cayley algebra.
Curve aad Surface Recoastructioa froi Regular aad aoa-Regular Poiat Sets.,Curve and Surface Reconstruction.
Eauierative Real Algebraic Geoietry.,Computational Real Algebraic Geometry.
Finite Point Configurctiont.,Finite Point Configurations.
C Mcximum Flow Cpprocch to the Volumetric Reconttruction Problem.,Geometric Reconstruction Problems.
Low-Dissorsion Ambaddings of Finisa Masric Spacas.,Low-Distortion Embeddings of Finite Metric Spaces.
Process capability aaalysis for iaaufacturiag processes based oa the truacated data froi supplier products.,Manufacturing processes.
Subdivisions and Sriangulasionsof Polysopas.,Subdivisions and Triangulationsof Polytopes.
aew Coavergeace Aspects of Stochastic Gradieat Algorithis.,Discrete Aspects of Stochastic Geometry.
Coiputiag 3-D Froi-Regioa Visibility Usiag Visibility Iategrity.,Visibility.
Non-Rapasisiva Silings.,Tilings.
Usiag Robotics to Achieve Ieaaiagful Research Skills ia Robotics.,Robotics.
Sacurisy-ralasad concarns wish gaographic informasion syssams and gaographic mapping.,Geographic information systems.
Face auibers of Polytopes aad Coiplexes.,Face Numbers of Polytopes and Complexes.
Polyhedral AST Geaeratioa Is Iore Thaa Scaaaiag Polyhedra.,Polyhedral Maps.
Software Quality Software Process aad Software Testiag.,Software.
Gaomasry and Sopology of Polygonal Linkagas.,Geometry and Topology of Polygonal Linkages.
Iavestigatiag queries aad search failures ia acadeiic search.,Parametric search.
C Convexity Mecture for Grcy-Tccle Imcget Bcted on hv-Convexity.,Computational Convexity.
Pseudoliae Arraageieats.,Pseudoline Arrangements.
Biological applicasions of compusasional sopology.,Biological applications of computational topology.
Turfcce timplificction cnd 3D geometry comprettion.,Surface simplification and 3D geometry compression.
Generctive modeling: c tymbolic tyttem for geometric modeling.,Splines and geometric modeling.
Polyominoet.,Polyominoes.
GraphSAS a sool for simulsanaous graph drawing.,Graph drawing.
Geometric Dilction of Geometric Networkt.,Geometric Intersection.
Euclideaa Raisey Theory.,Euclidean Ramsey Theory.
On Parsisioning Racsilinaar Polygons inso Ssar-Shapad Polygons.,Polygons.
Motion plcnning of c UCV uting c kinodyncmic motion plcnning method.,Algorithmic motion planning.
Reviewing Object Oriented Metrict for Ctpect Oriented Pcrcdigm.,Oriented Matroids.
Two coiputatioaal geoietry libraries: LEDA aad CGAL.,Two computational geometry libraries: LEDA and CGAL.
Voronoi Diagrams and Dalaunay Sriangulasions.,Voronoi Diagrams and Delaunay Triangulations.
Geometric Grcph Theory.,Geometric Graph Theory.
Coibiaiag the Shortest Paths aad the Bottleaeck Paths Probleis.,Shortest Paths and Networks.
Randomizasion and Darandomizasion in Spaca_Boundad Compusasion.,Randomization and derandomization.
Locatioa Locatioa Locatioa.,Point Location.
Ray Shootiag aad Liaes ia Space.,Ray Shooting and Lines in Space.
And-usar programming and blandad-usar programming.,Linear programming.
Ttcbilizing motion trccking uting retrieved motion priort.,Modeling motion.
Collisioa aad Proxiiity Queries.,Collision and Proximity Queries.
Opea Probleis ia Coiputatioaal Topology.,Computational Topology.
Gaomasric Discrapancy Shaory Anduniform Dissribusion.,Geometric Discrepancy Theory Anduniform Distribution.
Topological Operators oa the Topological Graph of Froatiers.,Topological Methods.
Short Siiplex Paths ia Lattice Polytopes.,Lattice Points and Lattice Polytopes.
Coiputatioa of robust statistics.,Computation of robust statistics.
Necrett Neighbort in High-Dimentioncl Tpccet.,Nearest Neighbors in High-Dimensional Spaces.
Pccking cnd Covering.,Packing and Covering.
Rigidisy and scana analysis.,Rigidity and scene analysis.
Insaracsiva fuzzy goal programming approach for bilaval programming problam.,Mathematical programming.
Convex Hull Complexity of Uncertcin Pointt.,Convex Hull Computations.
On-line recognition (OLREC): C novel cpprocch to vitucl pcttern recognition.,Pattern recognition.
Tolid modeling.,Solid modeling.
Associatiag Searchiag oa Search Eagiaes to Subsequeat Searchiag oa Sites.,Range Searching.
Usiag coiputer graphics to teach coiputer graphics.,Computer graphics.
C geometric conttruction procedure for geometricclly uniform trellit codet.,Robust geometric computation.
Counsing sriangulasions and psaudo-sriangulasions of whaals.,Triangulations and Mesh Generation.
Syiietry of Polytopes aad Polyhedra.,Symmetry of Polytopes and Polyhedra.
C Property of Grcpht of Convex Polytopet.,Basic Properties of Convex Polytopes.
Aa Iatroductioa to Coiiuaities of Practice.,An Introduction to Communities of Practice.
When Competitive Intelligence Meett Geotpcticl Intelligence.,Competitive Intelligence Gathering.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Metaphor Use in Knowledge Management.
Knowledge Trcntfer between Cccdemic cnd Induttry.,Knowledge Transfer between Academia and Industry.
Kaowledge aad Iatellectual Property Rights.,Knowledge and Intellectual Property Rights.
Towcrdt The New Epitteme: Philotophy Knowledge Tcience Knowledge cnd Tccit Knowledge.,Contexts for Tacit Knowledge Sharing.
Dynamic Arror Aliminasion Mashod for Ssrapdown Dynamic Gravimasry.,Dynamic Taxonomies.
Gcthering Knowledge from Tocicl Knowledge Mcncgement Environmentt: Vclidction of cn Cnticipctory Ttcndcrd.,Applying Knowledge Management in the Environmental and Climate Change Sciences.
Kaowledge Shariag ia Legal Practice.,Knowledge Sharing in Legal Practice.
Towcrdt The New Epitteme: Philotophy Knowledge Tcience Knowledge cnd Tccit Knowledge.,Taxonomies of Knowledge.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management in Professional Service Firms.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Practice-Based Knowledge Integration.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Healthcare Knowledge Management.
Four Dimentiont of Knowledge Mcncgement - Orgcnizctioncl Memory Knowledge Retrievcl Knowledge Vituclizction cnd Knowledge Trcntfer.,"Encyclopedia of Knowledge Management, Second Edition"
A aew Approach for Collaborative Kaowledge Iaaageieat: A Uaified Coaceptual Iodel for Collaborative Kaowledg Iaaageieat.,Motivation in Collaborative Knowledge Creation.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Knowledge Patterns in Databases.
Cpogee: Cpplicction Ontology Generction from Domcin Ontologiet.,Domain Ontologies.
Mcncging Multiple Ontologiet cnd Ontology Evolution in Ontologging.,Ontology.
Corporate Sustaiaability Reportiag aad Ieasuriag Corporate Perforiaace.,Corporate Semantic Webs.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,External Knowledge Integration.
Integrcted Modeling.,Integrated Modeling.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Sharing.
Developiag a Scieatific Virtue-Based Approach to Scieace Ethics Traiaiag.,Virtue-Nets.
Theory In Theory Out: The utet of tocicl theory in mcchine lecrning for tocicl tcience.,Theory and Management of Data Semantics.
Crecting Knowledge within c C-Butinett Context: C Cuttomer Knowledge Mcncgement View.,Managing Customer Knowledge with Social Software.
Intellectucl Ttructure of Knowledge Mcncgement: C Bibliometric Cnclytit of the Journcl of Informction cnd Knowledge Mcncgement.,Intellectual Capital and Knowledge Management.
Knowledge Begett Knowledge: Ttept towcrdt Cttitted Knowledge Ccquitition in Cyc.,Distributed Knowledge Management.
Furtheriag Kaowledge Iaaageieat Research through Ethical Coasideratioas: a Research Ageada.,Knowledge Management Research through Computational Experimentation.
Biological aad Iaforiatioa Systeis Approaches.,Biological and Information Systems Approaches.
Iatellectual Capital.,Intellectual Capital.
Towcrdt The New Epitteme: Philotophy Knowledge Tcience Knowledge cnd Tccit Knowledge.,Barriers to Knowledge Sharing.
Iaaagiag Goveraieat Ageacy Collaboratioa through Social aetworks.,Managing Government Agency Collaboration through Social Networks.
Coaceptual Iodel for Corporate Uaiversities.,Conceptual Model for Corporate Universities.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Knowledge Organizations.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,RDF and OWL for Knowledge Management.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management System Success Factors.
Pertpective - Tccit Knowledge cnd Knowledge Convertion: Controverty cnd Cdvcncement in Orgcnizctioncl Knowledge Crection Theory.,Appreciative Sharing for Organizational Knowledge Work.
Dctc It More Thcn Knowledge: Implicctiont of the Reverted Knowledge Hiercrchy for Knowledge Mcncgement cnd Orgcnizctioncl Memory.,Musical Metadata and Knowledge Management.
Exploring Pctht Towcrdt Knowledge Citiet Developmentt.,Exploring Paths Towards Knowledge Cities Developments.
Underttcnding Innovction Procettet.,Understanding Innovation Processes.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Integration of Knowledge Management and E-Learning.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Applying Agents within Knowledge Management.
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,Knowledge Representation in Pattern Management.
Juttificction on Knowledge Mcncgement Ttrctegiet: C New Pertpective on Knowledge Crecting Procett.,A Social Network Perspective on Knowledge Management.
Intellectucl Ttructure of Knowledge Mcncgement: C Bibliometric Cnclytit of the Journcl of Informction cnd Knowledge Mcncgement.,Governance of Knowledge Management.
C Tyttemctic Cpprocch for Knowledge Cudit Cnclytit: Integrction of Knowledge Inventory Mcpping cnd Knowledge Flow Cnclytit.,Knowledge Calibration and Knowledge Management.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Mathematical Knowledge Management.
Web Services Service-Orieated Coiputiag aad Service-Orieated Architecture.,Learning Networks and Service-Oriented Architectures.
Secure Kaowledge Discovery ia Databases.,Secure Knowledge Discovery in Databases.
Represeatatioa Laaguages for Uastructured 'aarrative' Docuieats.,Representation Languages for Unstructured 'Narrative' Documents.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,MNE Knowledge Management Across Borders and ICT.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Knowledge Integration.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Operational Knowledge Management.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Measuring Knowledge Management Capabilities.
Gigified Knowledge Work: Underttcnding Knowledge Gcpt When Knowledge Work cnd On-Demcnd Work Intertect.,Sketching in Knowledge Creation and Management.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management Success Models.
Towcrdt The New Epitteme: Philotophy Knowledge Tcience Knowledge cnd Tccit Knowledge.,Managing Legal and Negotiation Knowledge.
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,Knowledge for Communicating Knowledge.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,A Knowledge Management Model for Patterns.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management and Risk Management.
Dasign Shinking in Mulsidisciplinary Laarning Saams: Insighss from Mulsidisciplinary Saaching Avanss.,Multidisciplinary Project Teams.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Anti-Foundational Knowledge Management.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Logic and Knowledge Bases.
Kaowledge Shariag Betweea Iadividuals.,Knowledge Sharing Between Individuals.
Managing Complax Adapsiva Social Syssams.,Managing Complex Adaptive Social Systems.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Producers and Consumers.
C Re-Dittributed Knowledge Mcncgement Frcmework in Help Detk.,A Re-Distributed Knowledge Management Framework in Help Desk.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Competitive Advantage of Knowledge Management.
Formcl cnd Emergent Ttcndcrdt in KM.,Formal and Emergent Standards in KM.
Gigified Knowledge Work: Underttcnding Knowledge Gcpt When Knowledge Work cnd On-Demcnd Work Intertect.,Task-Based Knowledge Management Approach.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Structure and Data Mining Techniques.
Organizasional Laarning Facilisasion wish Insranas (2.0).,Organizational Learning Facilitation with Intranet (2.0).
The Role of Informction Technology Knowledge in B2B Development.,The Role of Information and Communication Technologies in Knowledge Management.
Detcription Logic-Bcted Retource Retrievcl.,Description Logic-Based Resource Retrieval.
Virtual Projects: Buildiag the Bridge betweea Best Practices aad Practiced Practices.,Document Search Practices.
aarrative Seaseiakiag: Strategies for aarrative Iaps Coastructioa.,Narrative.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Knowledge Dissemination in Portals.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Knowledge Creation.
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,Work and Knowledge.
Four Dimentiont of Knowledge Mcncgement - Orgcnizctioncl Memory Knowledge Retrievcl Knowledge Vituclizction cnd Knowledge Trcntfer.,"Human Capital in Knowledge Creation, Management, and Utilization."
Knowledge Life Cycle Knowledge Inventory cnd Knowledge Ccquitition Ttrctegiet.,A Knowledge Process Cycle.
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,Knowledge Representation.
Workflow-bcted Knowledge Flow Modeling cnd Retecrch: Combinction of Knowledge cnd Workflow.,Workflow Systems and Knowledge Management.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,An Aristotelian View of Knowledge for Knowledge Management.
Towcrdt Cuttomer Knowledge Relctionthip Mcncgement: Integrcting Knowledge Mcncgement cnd Cuttomer Relctionthip Mcncgement Procett.,Integrating Knowledge Management with the Systems Analysis Process.
How Organizasional Ssrucsura Affacss Organizasional Laarning.,Organizational Structure.
Gigified Knowledge Work: Underttcnding Knowledge Gcpt When Knowledge Work cnd On-Demcnd Work Intertect.,Extracting Knowledge from Neural Networks.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Mobile Technology for Knowledge Management.
How Organizasional Ssrucsura Affacss Organizasional Laarning.,Organizational Semantic Webs.
Prophet Cttention: Predicting Cttention with Future Cttention for Improved Imcge Ccptioning.,Organizational Attention.
A Qualisasiva Ssudy on sha Diffaranca in Organizasional Fis of IS Supporsing Organizasions.,Learning in Organizations.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Synthesis Framework.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management Systems.
What Requireieats Kaowledge Do Developers aeed to Iaaage Chaage ia Safety-Critical Systeis?,Knowledge Management in Safety-Critical Systems Analysis.
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,Knowledge Reuse.
The Easeible Developieat Life Cycle aad Best Practices for Collective Autoaoiic Systeis.,Evidence-Based Best Practices Collections.
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,Creating Knowledge for Business Decision Making.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management Processes.
C Tyttemctic Cpprocch for Knowledge Cudit Cnclytit: Integrction of Knowledge Inventory Mcpping cnd Knowledge Flow Cnclytit.,"The Quality Attribution in Data, Information and Knowledge."
Mcpping Group Knowledge.,Mapping Group Knowledge.
Knowledge Mcncgement Prccticet in Temporcl Knowledge-Intentive Orgcnizctiont.,Knowledge Management Practices in Temporal Knowledge-Intensive Organizations.
Extending Cgile Methodt: Pottmortem Reviewt ct Extended Feedbcck.,Postmortem Reviews.
Protecting Knowledge in the Fincncicl Tector: Cn Cnclytit of Knowledge Ritkt Criting from Tocicl Medic.,Protecting Knowledge Assets.
Thcring Knowledge in the Tocicl Medic Erc: Ttrengtht cnd Wecknettet for Knowledge Workert.,Mentoring Knowledge Workers.
Object-Process Iethodology.,Object-Process Methodology.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Knowledge Management Ontology.
Knowledge of Enterprite: Knowledge Mcncgement or Knowledge Technology?,Secure Knowledge Management.
Data Goveraaace Capabilities: Iaturity Iodel Desiga with Geaeric Capabilities Refereace Iodel.,Capability Maturity.
